sample_idx,baseband_i,baseband_q
0,0,0
1,0,0
2,0,0
3,0,0
4,0,0
5,0,0
6,0,0
7,-1,-1
8,-1,-1
9,0,-1
10,0,0
11,-1,0
12,0,-1
13,0,0
14,-1,0
15,0,-1
16,0,0
17,-1,-1
18,1,-2
19,-1,2
20,-2,-2
21,3,-2
22,-5,5
23,-5,-17
24,20,-40
25,26,-17
26,16,0
27,21,-8
28,22,-6
29,19,-4
30,21,-7
31,20,-5
32,20,-5
33,21,-6
34,20,-5
35,20,-5
36,20,-5
37,20,-6
38,21,-6
39,20,-6
40,20,-5
41,20,-5
42,20,-6
43,21,-6
44,20,-6
45,20,-5
46,20,-5
47,20,-6
48,21,-6
49,20,-6
50,20,-5
51,20,-5
52,20,-6
53,21,-6
54,20,-6
55,20,-5
56,20,-5
57,20,-6
58,21,-6
59,20,-6
60,20,-5
61,20,-5
62,20,-6
63,21,-6
64,20,-6
65,20,-5
66,20,-5
67,20,-6
68,21,-6
69,20,-6
70,20,-5
71,20,-5
72,20,-6
73,21,-6
74,20,-6
75,20,-5
76,20,-5
77,20,-6
78,21,-6
79,20,-6
80,20,-5
81,20,-5
82,20,-6
83,21,-6
84,20,-6
85,20,-5
86,20,-5
87,20,-6
88,21,-6
89,20,-6
90,20,-5
91,20,-5
92,20,-6
93,21,-6
94,20,-6
95,20,-5
96,20,-5
97,20,-6
98,21,-6
99,20,-6
100,20,-5
101,20,-5
102,20,-6
103,21,-6
104,20,-6
105,20,-5
106,20,-5
107,20,-6
108,21,-6
109,20,-6
110,20,-5
111,20,-5
112,20,-6
113,21,-6
114,20,-6
115,20,-5
116,20,-5
117,20,-6
118,21,-6
119,20,-6
120,20,-5
121,20,-5
122,20,-6
123,21,-6
124,20,-6
125,20,-5
126,20,-5
127,20,-6
128,21,-6
129,20,-6
130,20,-5
131,20,-5
132,20,-6
133,21,-6
134,20,-6
135,20,-5
136,20,-5
137,20,-6
138,21,-6
139,20,-6
140,20,-5
141,20,-5
142,20,-6
143,21,-6
144,20,-6
145,20,-5
146,20,-5
147,20,-6
148,21,-6
149,20,-6
150,20,-5
151,20,-5
152,20,-6
153,21,-6
154,20,-6
155,20,-5
156,20,-5
157,20,-6
158,21,-6
159,20,-6
160,20,-5
161,20,-5
162,20,-6
163,21,-6
164,20,-6
165,20,-5
166,20,-5
167,20,-6
168,21,-6
169,20,-6
170,20,-5
171,20,-5
172,20,-6
173,21,-6
174,20,-6
175,20,-5
176,20,-5
177,20,-6
178,21,-6
179,20,-6
180,20,-5
181,20,-5
182,20,-6
183,21,-6
184,20,-6
185,20,-5
186,20,-5
187,20,-6
188,21,-6
189,20,-6
190,20,-5
191,20,-5
192,20,-6
193,21,-6
194,20,-6
195,20,-5
196,20,-5
197,20,-6
198,21,-6
199,20,-6
200,20,-5
201,20,-5
202,20,-6
203,21,-6
204,20,-6
205,20,-5
206,20,-5
207,20,-6
208,21,-6
209,20,-6
210,20,-5
211,20,-5
212,20,-6
213,21,-6
214,20,-6
215,20,-5
216,20,-5
217,20,-6
218,21,-6
219,20,-6
220,20,-5
221,20,-5
222,20,-6
223,21,-6
224,20,-6
225,20,-5
226,20,-5
227,20,-6
228,21,-6
229,20,-6
230,20,-5
231,20,-5
232,20,-6
233,21,-6
234,20,-6
235,20,-5
236,20,-5
237,20,-6
238,21,-6
239,20,-6
240,20,-5
241,20,-5
242,20,-6
243,21,-6
244,20,-6
245,20,-5
246,20,-5
247,20,-6
248,21,-6
249,20,-6
250,20,-5
251,20,-5
252,20,-6
253,21,-6
254,20,-6
255,20,-5
256,20,-5
257,20,-6
258,21,-6
259,20,-6
260,20,-5
261,20,-5
262,20,-6
263,21,-6
264,20,-6
265,20,-5
266,20,-5
267,20,-6
268,21,-6
269,20,-6
270,20,-5
271,20,-5
272,20,-6
273,21,-6
274,20,-6
275,20,-5
276,20,-5
277,20,-6
278,21,-6
279,20,-6
280,20,-5
281,20,-5
282,20,-6
283,21,-6
284,20,-6
285,20,-5
286,20,-5
287,20,-6
288,21,-6
289,20,-6
290,20,-5
291,20,-5
292,20,-6
293,21,-6
294,20,-6
295,20,-5
296,20,-5
297,20,-6
298,21,-6
299,20,-6
300,20,-5
301,20,-5
302,20,-6
303,21,-6
304,20,-6
305,20,-5
306,20,-5
307,20,-6
308,21,-6
309,20,-6
310,20,-5
311,20,-5
312,20,-6
313,21,-6
314,20,-6
315,20,-5
316,20,-5
317,20,-6
318,21,-6
319,20,-6
320,20,-5
321,20,-5
322,20,-6
323,21,-6
324,20,-6
325,20,-5
326,20,-5
327,20,-6
328,21,-6
329,20,-6
330,20,-5
331,20,-5
332,20,-6
333,21,-6
334,20,-6
335,20,-5
336,20,-5
337,20,-6
338,21,-6
339,20,-6
340,20,-5
341,20,-5
342,20,-6
343,21,-6
344,20,-6
345,20,-5
346,20,-5
347,20,-6
348,21,-6
349,20,-6
350,20,-5
351,20,-5
352,20,-6
353,21,-6
354,20,-6
355,20,-5
356,20,-5
357,20,-6
358,21,-6
359,20,-6
360,20,-5
361,20,-5
362,20,-6
363,21,-6
364,20,-6
365,20,-5
366,20,-5
367,20,-6
368,21,-6
369,20,-6
370,20,-5
371,20,-5
372,20,-6
373,21,-6
374,20,-6
375,20,-5
376,20,-5
377,20,-6
378,21,-6
379,20,-6
380,20,-5
381,20,-5
382,20,-6
383,21,-6
384,20,-6
385,20,-5
386,20,-5
387,20,-6
388,21,-6
389,20,-6
390,20,-5
391,20,-5
392,20,-6
393,21,-6
394,20,-6
395,20,-5
396,20,-5
397,20,-6
398,21,-6
399,20,-6
400,20,-5
401,20,-5
402,20,-6
403,21,-6
404,20,-6
405,20,-5
406,20,-5
407,20,-6
408,21,-6
409,20,-6
410,20,-5
411,20,-5
412,20,-6
413,21,-6
414,20,-6
415,20,-5
416,20,-5
417,20,-6
418,21,-6
419,20,-6
420,20,-5
421,20,-5
422,20,-6
423,21,-6
424,20,-6
425,20,-5
426,20,-5
427,20,-6
428,21,-6
429,20,-6
430,20,-5
431,20,-5
432,20,-6
433,21,-6
434,20,-6
435,20,-5
436,20,-5
437,20,-6
438,21,-6
439,20,-6
440,20,-5
441,20,-5
442,20,-6
443,21,-6
444,20,-6
445,20,-5
446,20,-5
447,20,-6
448,21,-6
449,20,-6
450,20,-5
451,20,-5
452,20,-6
453,21,-6
454,20,-6
455,20,-5
456,20,-5
457,20,-6
458,21,-6
459,20,-6
460,20,-5
461,20,-5
462,20,-6
463,21,-6
464,20,-6
465,20,-5
466,20,-5
467,20,-6
468,21,-6
469,20,-6
470,20,-5
471,20,-5
472,20,-6
473,21,-6
474,20,-6
475,20,-5
476,20,-5
477,20,-6
478,21,-6
479,20,-6
480,20,-5
481,20,-5
482,20,-6
483,21,-6
484,20,-6
485,20,-5
486,20,-5
487,20,-6
488,21,-6
